file,status,pa,pb,pc,pairs,coinc,nearmiss,maxc
matmul/dbcache/6a4bc4d4j4n/i238w235c236c-000.tab,ok,1,1,1,3,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w231c346c-000.tab,ok,0,2,2,4,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w237c235i-000.tab,ok,1,2,0,3,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w225c37eg-000.tab,ok,1,2,2,5,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w231c289h-000.tab,ok,2,1,2,5,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w241c37eg-000.tab,ok,1,0,0,1,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w231c37eg-000.tab,ok,1,2,0,3,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w223c37eg-000.tab,ok,2,2,1,5,0,0,1
matmul/dbcache/6a4bc4d4j4n/i238w231c37eg-001.tab,ok,1,1,1,3,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w227c356f-000.tab,ok,1,1,1,3,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w233c37eg-000.tab,ok,2,0,1,3,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w237c239e-000.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w227c37eg-000.tab,ok,2,1,0,3,0,0,1
matmul/dbcache/6a4bc4d4j4n/i238w233c347i-000.tab,ok,0,2,0,2,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w235c349g-000.tab,ok,0,2,0,2,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w223c35eg-000.tab,ok,2,2,1,5,2,1,1
matmul/dbcache/6a4bc4d4j4n/i238w227c48eh-000.tab,ok,1,2,0,3,4,2,1
matmul/dbcache/6a4bc4d4j4n/i238w239c37eg-000.tab,ok,1,1,1,3,6,3,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-013.tab,ok,2,1,1,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w219c346f-002.tab,ok,3,1,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c23ci-007.tab,ok,3,1,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w223c347e-000.tab,ok,1,2,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w261c346i-000.tab,ok,1,2,2,5,8,4,1
matmul/dbcache/11a5b2dj4n/i45w191c23ci-003.tab,ok,3,0,2,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w229c35ef-000.tab,ok,0,3,2,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w257c258h-001.tab,ok,1,2,0,3,2,1,1
matmul/dbcache/11a5b2dj4n/i45w265c3bcf-001.tab,ok,1,3,2,6,6,3,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-010.tab,ok,3,0,2,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w207c23ci-004.tab,ok,4,0,0,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w213c23ci-002.tab,ok,3,1,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w223c34aj-000.tab,ok,0,2,2,4,2,1,1
matmul/dbcache/11a5b2dj4n/i45w219c356e-001.tab,ok,2,0,1,3,6,3,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-012.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w247c234g-000.tab,ok,2,2,1,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w239c236f-001.tab,ok,2,1,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w241c268h-000.tab,ok,1,3,1,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c39aj-000.tab,ok,3,1,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w239c236f-000.tab,ok,3,0,0,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-013.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w231c23ci-007.tab,ok,3,1,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w219c389h-001.tab,ok,3,3,0,6,0,0,1
matmul/dbcache/11a5b2dj4n/i45w225c23ci-001.tab,ok,4,0,0,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w253c346d-000.tab,ok,3,1,0,4,6,3,1
matmul/dbcache/11a5b2dj4n/i45w247c39aj-000.tab,ok,2,2,1,5,4,2,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-010.tab,ok,4,1,1,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-002.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w231c34aj-000.tab,ok,2,0,3,5,2,1,1
matmul/dbcache/11a5b2dj4n/i45w215c23ci-004.tab,ok,3,1,1,5,0,0,1
matmul/dbcache/11a5b2dj4n/i45w229c37eh-000.tab,ok,0,4,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w203c367f-000.tab,ok,1,2,0,3,0,0,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-019.tab,ok,3,0,1,4,4,2,1
matmul/dbcache/11a5b2dj4n/i45w245c258h-000.tab,ok,3,2,0,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-025.tab,ok,3,1,1,5,6,3,1
matmul/dbcache/11a5b2dj4n/i45w221c39hi-000.tab,ok,0,2,1,3,4,2,1
matmul/dbcache/11a5b2dj4n/i45w211c23ci-031.tab,ok,4,0,2,6,2,1,1
matmul/dbcache/11a5b2dj4n/i45w201c23ci-003.tab,ok,4,1,0,5,2,1,1
