class,slim_reps_le27,best_total
i12w219c23ci-008,1728,56
i19w225c4efh-000,1296,56
i19w223c23ci-022,1296,57
i19w229c34di-000,432,57
i19w233c3bcf-000,432,57
i29w201c26fi-000,864,57
i31w209c23ci-003,1296,57
i46w217c23ci-002,864,57
i10w205c236c-000,1296,58
i12w211c23fg-000,864,58
i12w223c346f-000,864,58
i14w205c467d-000,864,58
i19w215c28hj-000,864,58
i19w231c23ci-014,864,58
i29w193c236f-000,864,58
i29w209c23ci-002,864,58
i29w209c49ai-000,864,58
i31w201c23ci-008,864,58
i31w201c23ci-021,2160,58
i31w209c23ci-006,1296,58
i31w217c23ci-010,1296,58
i31w217c23ci-011,864,58
i36w203c467d-000,864,58
i46w205c23ci-010,864,58
i46w209c23ci-006,864,58
i46w209c23ci-011,864,58
i46w209c23ci-019,864,58
i46w215c249i-000,864,58
i46w215c389j-000,864,58
i46w217c23ci-009,864,58
i46w217c247g-000,864,58
i46w221c23ci-003,1296,58
i46w225c23ci-001,864,58
i63w209c23ci-009,864,58
i63w217c38eh-000,864,58
i10w197c28ah-000,1296,59
i10w213c289j-000,864,59
i10w213c347i-000,1296,59
i10w213c349i-000,1728,59
i14w197c349i-000,864,59
i14w209c235e-000,864,59
i14w213c238h-000,864,59
i29w201c23ci-000,864,59
i29w217c23ci-000,864,59
i36w207c467d-000,432,59
i36w211c36ef-000,432,59
i46w197c23ci-001,864,59
i46w201c23ci-002,864,59
i46w201c23ci-012,864,59
i46w209c23ci-000,864,59
i46w209c23ci-008,864,59
i46w209c23ci-015,864,59
i46w213c23ci-007,1296,59
i46w213c23ci-012,864,59
i46w217c23ci-008,864,59
i46w217c23ci-012,432,59
i46w223c235h-000,864,59
i46w223c356d-000,432,59
i46w223c47eg-000,864,59
i46w229c23ci-001,1296,59
i63w209c23ci-001,864,59
i10w205c346d-000,1728,60
i10w205c367g-000,864,60
i10w221c236f-000,1728,60
i10w221c27fg-000,864,60
i14w201c346f-000,864,60
i14w217c48ah-000,864,60
i153w215c239i-000,432,60
i46w209c23ci-014,432,60
i46w217c23ci-005,432,60
i46w225c23ci-000,432,60
i46w231c356d-000,432,60
i64w187c236f-000,864,60
i64w187c48ae-001,864,60
i64w195c346f-000,432,60
i73w183c48ae-000,864,60
i73w195c346f-000,864,60
i73w195c48ae-000,864,60
i73w199c236f-001,1296,60
i145w217c46dj-000,432,61
