seed loaded + exactly verified over F_p, p = 2 (49 summands)
[120s] pursue9: best rank 49  reductions 903497                               flips 36922634  splits 903629
[240s] pursue9: best rank 49  reductions 1494767                               flips 60712819  splits 1494973
[360s] pursue9: best rank 49  reductions 1819926                               flips 73811948  splits 1820164
[480s] pursue9: best rank 49  reductions 2122629                               flips 86011330  splits 2122899
[600s] pursue9: best rank 49  reductions 2429591                               flips 98222959  splits 2429903
[720s] pursue9: best rank 49  reductions 2726742                               flips 110497836  splits 2727093
[840s] pursue9: best rank 49  reductions 2937222                               flips 119180044  splits 2937607
[960s] pursue9: best rank 49  reductions 3137961                               flips 127405699  splits 3138370
[1080s] pursue9: best rank 49  reductions 3335996                               flips 135652607  splits 3336431
[1200s] pursue9: best rank 49  reductions 3530898                               flips 143589850  splits 3531358
[1320s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[1440s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[1560s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[1680s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[1800s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[1920s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2040s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2160s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2280s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2400s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2520s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2640s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2760s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[2880s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3000s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3120s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3240s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3360s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3480s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3600s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3720s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
[3840s] pursue9: best rank 49  reductions 3534788                               flips 143765642  splits 3535249
