([1, 1, 0, 0, 0, 0, -1, 0, 0], 0) | ([1, 0, 0, 0, 0, 0, 0, 0, 0], 0) | ([1, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 1, 0, 0], 0) | ([2, 2, -3, 0, 0, 0, -2, -2, -3], 0) | ([-1, 0, 0, 0, 0, 0, -1, 0, -1], 0)
([1, -1, 1, 0, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, 0, 0], 0)
([0, 0, 1, 1, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, -1, 1], 0) | ([0, 0, 1, 0, 1, 1, 0, 0, 0], 0)
([0, 0, 1, 0, 0, 0, 1, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, -1, -1, 0], 0) | ([-1, 0, 0, 0, 0, 0, -1, 1, 0], 0)
([1, 0, 0, -1, 0, 0, 0, 0, 0], 0) | ([0, 0, 1, 0, 0, 0, 0, 0, 0], 0) | ([0, 0, 1, 0, 0, 0, 0, 0, 0], 0)
([0, 0, 0, 1, 0, 0, 0, 0, 0], 0) | ([1, -1, 1, -1, 0, -1, 0, 1, -1], 0) | ([0, 0, 1, 0, 0, 1, 0, 0, 0], 0)
([0, 0, 13, 0, 0, -13, -16, 0, 16], 0) | ([0, 0, 0, 0, 0, 0, 0, 0, 1], 0) | ([0, 0, 0, 0, -4, -4, 0, 0, -3], -2)
([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([1, -2, 0, -1, -2, 0, 0, 0, 0], 0) | ([1, -1, -1, 1, 0, -1, 0, 0, 0], 0)
([0, 0, 0, 1, 1, 0, 0, 1, 0], 0) | ([0, 0, 0, 1, 0, 1, -1, 0, 0], 0) | ([0, 0, 0, 1, 0, 0, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 0, 1, 0], 0) | ([0, 0, 0, 4, 4, -3, 0, 0, 0], 0) | ([0, 0, 0, -1, 0, 0, 1, 0, 0], -2)
([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([1, -1, 0, -1, -1, 0, 0, 0, 0], 0) | ([-2, 1, 2, -2, 0, 2, 0, 0, 0], 0)
([0, 2, 0, 0, -2, 0, 0, -3, 0], 0) | ([0, 0, 0, 0, 0, 1, 0, 0, 0], 0) | ([0, 0, 0, 1, 0, -1, 0, 0, 0], -1)
([0, 0, 0, 0, 0, 0, 0, 1, 0], 0) | ([0, 0, 0, 0, 0, 1, 0, 0, 0], 0) | ([0, 0, 0, -1, 0, -6, 3, 0, 4], -2)
([0, 0, 1, -1, -1, -1, 0, -1, -1], 0) | ([0, 0, 0, 0, 0, 0, 1, 0, 0], 0) | ([0, 0, 0, 0, 0, 0, -1, 1, 0], 0)
([0, 0, 0, 1, 0, 1, 0, 0, 0], 0) | ([0, 0, 0, 0, 1, 0, 0, -1, 1], 0) | ([0, 0, 0, 0, -1, 0, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 1, 0, 1], 0) | ([0, 0, 0, 0, 0, 0, 1, 1, 0], 0) | ([0, 0, 0, 0, 0, 0, 0, 1, 0], 0)
([0, 0, 3, 0, 0, -3, -4, 0, 4], 0) | ([0, 0, 0, 0, 0, 0, 0, 0, 1], 0) | ([0, 0, 0, 0, 16, 16, 0, 0, 13], -2)
([0, 0, 0, 1, 1, 1, 0, 1, 0], 0) | ([0, 0, 0, 0, 1, 0, 1, 0, 0], 0) | ([0, 0, 0, 1, 0, 0, -1, 1, 0], 0)
([0, 0, 0, 1, 1, 1, 0, 0, 0], 0) | ([0, 0, 0, 0, 1, 0, 0, 0, 0], 0) | ([0, 0, 0, -1, 1, 0, 1, -1, 0], 0)
([0, 0, 1, 0, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, -1, 0], 0) | ([1, -1, -1, 0, -1, -1, 1, -1, 0], 0)
([0, 1, 0, 1, 0, 0, 0, 0, 0], 0) | ([1, 0, 0, -1, 0, -1, 0, 0, 0], 0) | ([0, 0, -1, 1, 0, -1, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 1, 0, 0], 0) | ([1, 1, -1, 0, 0, 0, -1, -1, -1], 0) | ([3, 0, 0, 0, 0, 0, 3, 0, 2], 0)
---
([1, 1, 0, 0, 0, 0, -1, 0, 0], 0) | ([1, 0, 0, 0, 0, 0, 0, 0, 0], 0) | ([1, 0, 0, 0, 0, 0, 0, 0, 0], 0)
([0, 1, 0, 1, 0, 0, 0, 0, 0], 0) | ([1, 0, 0, -1, 0, -1, 0, 0, 0], 0) | ([0, 0, -1, 1, 0, -1, 0, 0, 0], 0)
([1, -2, 1, 0, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, 0, 0], 0)
([0, 0, 1, 1, 0, 0, 0, 0, 0], 0) | ([0, 1, 0, 0, 0, 0, 0, -1, 1], 0) | ([0, 0, 1, 0, 1, 1, 0, 0, 0], 0)
([0, 0, 0, 1, 0, 0, 0, 0, 0], 0) | ([1, -1, 1, -1, 0, -1, 0, 1, -1], 0) | ([0, 0, 1, 0, 0, 1, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 1, 0, 0], 0) | ([4, 4, 1, 0, 0, 0, -4, -4, -2], 0) | ([-1, 0, 0, 0, 0, 0, -1, 0, 6], -1)
([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([1, 8, 0, -1, 4, 0, 0, 0, 0], 0) | ([20, 7, -20, 20, 0, -20, 0, 0, 0], -3)
([0, 0, 0, 1, 1, 0, 0, 1, 0], 0) | ([0, 0, 0, 1, 0, 1, -1, 0, 0], 0) | ([0, 0, 0, 1, 0, 0, 0, 0, 0], 0)
([0, 0, 0, 0, 0, 0, 0, 1, 0], 0) | ([0, 0, 0, 1, 1, 0, 0, 0, 0], 0) | ([0, 0, 0, -1, 0, 0, 1, 0, 0], 0)
([0, 1, 0, 0, 0, 0, 0, 0, 0], 0) | ([7, 40, 0, -7, 20, 0, 0, 0, 0], 0) | ([-4, -1, 4, -4, 0, 4, 0, 0, 0], -3)
([0, 0, 0, 1, 1, 1, 0, 0, 0], 0) | ([0, 0, 0, 0, 1, 0, 0, 0, 0], 0) | ([0, 0, 0, -1, 1, 0, 1, -1, 0], 0)
([0, 0, 0, 1, 1, 1, 0, 1, 0], 0) | ([0, 0, 0, 0, 1, 0, 1, 0, 0], 0) | ([0, 0, 0, 1, 0, 0, -1, 1, 0], 0)
([0, 1, 0, 0, -1, 0, 0, 0, 0], 0) | ([0, 0, 0, 0, 0, 1, 0, 0, 0], 0) | ([0, 0, 0, -1, 0, -1, 0, 0, 2], 0)
([0, 0, 1, -1, -1, -1, 0, -1, -1], 0) | ([0, 0, 0, 0, 0, 0, 1, 0, 0], 0) | ([0, 0, 0, 0, 0, 0, -1, 1, 0], 0)
