sweeping 18 counting-open thin classes
('d38-005', 31, 'closed->=56', None, None)
('d38-008', 31, 'closed->=56', None, None)
('d38-010', 30, 'closed->=56', None, None)
('d38-011', 30, 'closed->=56', None, None)
('d38-014', 31, 'closed->=56', None, None)
('d38-015', 31, 'closed->=56', None, None)
('d38-016', 31, 'closed->=56', None, None)
('d40-000', 31, 'closed->=56', None, None)
('d40-004', 30, 'closed->=56', None, None)
('d40-001', 31, 'closed->=56', None, None)
('d40-008', 31, 'closed->=56', None, None)
('d40-009', 31, 'closed->=56', None, None)
('d40-006', 30, 'closed->=56', None, None)
('d40-010', 31, 'closed->=56', None, None)
('d40-005', 30, 'closed->=56', None, None)
('d40-011', 31, 'closed->=56', None, None)
('d40-012', 31, 'closed->=56', None, None)
('d40-014', 31, 'closed->=56', None, None)
sweep done
