idx,dims,k,shape,arm,result,seconds
50,"(3, 3, 9)",7,3x3x6,cadical,UNSAT,88.0
50,"(3, 3, 9)",7,3x3x6,cadical_lex,UNSAT,0.3
50,"(3, 3, 9)",7,3x3x6,hydra_satsuma,UNSAT,64.0
50,"(3, 3, 9)",7,3x3x6,kissat,UNSAT,54.1
60,"(3, 3, 9)",7,3x3x6,cadical,UNSAT,88.0
60,"(3, 3, 9)",7,3x3x6,cadical_lex,UNSAT,0.4
60,"(3, 3, 9)",7,3x3x6,hydra_satsuma,UNSAT,44.6
60,"(3, 3, 9)",7,3x3x6,kissat,UNSAT,47.3
66,"(3, 3, 9)",7,3x3x6,cadical,UNSAT,78.7
66,"(3, 3, 9)",7,3x3x6,cadical_lex,UNSAT,0.4
66,"(3, 3, 9)",7,3x3x6,hydra_satsuma,UNSAT,65.3
66,"(3, 3, 9)",7,3x3x6,kissat,UNSAT,72.1
80,"(2, 5, 9)",8,2x5x6,cadical,TIMEOUT,300.0
80,"(2, 5, 9)",8,2x5x6,cadical_lex,UNSAT,0.7
80,"(2, 5, 9)",8,2x5x6,hydra_satsuma,TIMEOUT,298.4
80,"(2, 5, 9)",8,2x5x6,kissat,TIMEOUT,300.0
99,"(3, 4, 9)",8,3x4x6,cadical,TIMEOUT,300.0
99,"(3, 4, 9)",8,3x4x6,cadical_lex,UNSAT,2.4
99,"(3, 4, 9)",8,3x4x6,hydra_satsuma,TIMEOUT,298.4
99,"(3, 4, 9)",8,3x4x6,kissat,TIMEOUT,300.0
100,"(3, 4, 9)",8,3x4x6,cadical,TIMEOUT,300.0
100,"(3, 4, 9)",8,3x4x6,cadical_lex,UNSAT,1.9
100,"(3, 4, 9)",8,3x4x6,hydra_satsuma,TIMEOUT,298.4
100,"(3, 4, 9)",8,3x4x6,kissat,TIMEOUT,300.0
101,"(3, 4, 9)",8,3x4x6,cadical,TIMEOUT,300.0
101,"(3, 4, 9)",8,3x4x6,cadical_lex,UNSAT,1.4
101,"(3, 4, 9)",8,3x4x6,hydra_satsuma,TIMEOUT,298.4
101,"(3, 4, 9)",8,3x4x6,kissat,TIMEOUT,300.0
103,"(3, 4, 9)",8,3x4x7,cadical,TIMEOUT,300.0
103,"(3, 4, 9)",8,3x4x7,cadical_lex,UNSAT,1.9
103,"(3, 4, 9)",8,3x4x7,hydra_satsuma,TIMEOUT,298.4
103,"(3, 4, 9)",8,3x4x7,kissat,TIMEOUT,300.0
104,"(3, 4, 9)",8,3x4x7,cadical,TIMEOUT,300.0
