=== REOPT284 START Thu Jul 16 08:15:18 EDT 2026 — target: any side below 84/76/124 (total 284) ===
[L] rep 100, best 84 (base 84)
[R] rep 100, best 76 (base 76)
[P] rep 100, best 124 (base 124)
[L] rep 200, best 84 (base 84)
[L] rep 300, best 84 (base 84)
[R] rep 200, best 76 (base 76)
[P] rep 200, best 124 (base 124)
[L] rep 400, best 84 (base 84)
[R] rep 300, best 76 (base 76)
[L] rep 500, best 84 (base 84)
[P] rep 300, best 124 (base 124)
[L] rep 600, best 84 (base 84)
[R] rep 400, best 76 (base 76)
[L] rep 700, best 84 (base 84)
[R] rep 500, best 76 (base 76)
[P] rep 400, best 124 (base 124)
[L] rep 800, best 84 (base 84)
[L] rep 900, best 84 (base 84)
[R] rep 600, best 76 (base 76)
[P] rep 500, best 124 (base 124)
[L] rep 1000, best 84 (base 84)
[R] rep 700, best 76 (base 76)
[L] rep 1100, best 84 (base 84)
[P] rep 600, best 124 (base 124)
[L] rep 1200, best 84 (base 84)
[R] rep 800, best 76 (base 76)
[L] rep 1300, best 84 (base 84)
[P] rep 700, best 124 (base 124)
[R] rep 900, best 76 (base 76)
[L] rep 1400, best 84 (base 84)
[L] rep 1500, best 84 (base 84)
[L] done: best 84 (base 84)
[R] rep 1000, best 76 (base 76)
[P] rep 800, best 124 (base 124)
[R] rep 1100, best 76 (base 76)
[P] rep 900, best 124 (base 124)
[R] rep 1200, best 76 (base 76)
[P] rep 1000, best 124 (base 124)
[R] rep 1300, best 76 (base 76)
[P] rep 1100, best 124 (base 124)
[R] rep 1400, best 76 (base 76)
[P] rep 1200, best 124 (base 124)
[R] rep 1500, best 76 (base 76)
[R] done: best 76 (base 76)
[P] rep 1300, best 124 (base 124)
[P] rep 1400, best 124 (base 124)
[P] rep 1500, best 124 (base 124)
[P] done: best 124 (base 124)
=== REOPT284 DONE Thu Jul 16 08:36:51 EDT 2026 ===
